time	V(to_dekoder)
4.593849398823959e-003	2.289882e+000
4.593908817835381e-003	2.287615e+000
4.594027655858225e-003	2.282774e+000
4.594222924655277e-003	2.274577e+000
4.594379295752866e-003	2.267824e+000
4.594508489628884e-003	2.262131e+000
4.594563361250315e-003	2.259681e+000
4.594644451448010e-003	2.256015e+000
4.594709126736258e-003	2.253053e+000
4.594781754954149e-003	2.249674e+000
4.594855089779980e-003	2.246200e+000
4.594960271783547e-003	2.241112e+000
4.595076187489394e-003	2.235361e+000
4.595228689165128e-003	2.227569e+000
4.595380965379770e-003	2.219533e+000
4.595558530594789e-003	2.209842e+000
4.595718987067446e-003	2.200776e+000
4.595921622872738e-003	2.188858e+000
4.596224520030217e-003	2.170158e+000
4.596654455251225e-003	2.141938e+000
4.597232242591659e-003	2.101090e+000
4.598002903839638e-003	2.041682e+000
4.599133308668287e-003	1.947222e+000
4.599970225043335e-003	1.873072e+000
4.600136461253701e-003	1.857733e+000
4.600468933674435e-003	1.826300e+000
4.601000000000000e-003	1.775534e+000
4.601009051588337e-003	1.774657e+000
4.601027154765010e-003	1.772905e+000
4.601684041461451e-003	1.710870e+000
4.602340928157892e-003	1.651076e+000
4.602997814854333e-003	1.593526e+000
4.603654701550773e-003	1.538219e+000
4.604311588247214e-003	1.485155e+000
4.604968474943654e-003	1.434333e+000
4.605625361640095e-003	1.385754e+000
4.610259774868526e-003	1.062014e+000
4.611197652681398e-003	1.004317e+000
4.613073408307140e-003	9.010279e-001
4.614106758770438e-003	8.471231e-001
4.614818464359278e-003	8.120281e-001
4.615422138843795e-003	7.834517e-001
4.616003375075195e-003	7.568652e-001
4.616444454072286e-003	7.373421e-001
4.616969847091698e-003	7.148585e-001
4.617570067284350e-003	6.900851e-001
4.618270691737815e-003	6.623695e-001
4.619079517900528e-003	6.319871e-001
4.620173732041225e-003	5.935242e-001
4.621689345992584e-003	5.450466e-001
4.624207679019047e-003	4.758318e-001
4.628907566377473e-003	3.729864e-001
4.635122866533755e-003	2.736167e-001
4.642121579476121e-003	1.979938e-001
4.648611316082401e-003	1.526943e-001
4.655522249682631e-003	1.221679e-001
4.662639393914920e-003	1.024041e-001
4.670695296293315e-003	8.883109e-002
4.679395197867765e-003	8.032141e-002
4.689570505540842e-003	7.494570e-002
4.701258457352068e-003	7.188807e-002
4.715820131841911e-003	7.024346e-002
4.734038626775352e-003	6.950403e-002
4.759091953994421e-003	6.923471e-002
4.795267954150640e-003	6.917033e-002
4.998000000000001e-003	6.916472e-002
4.998017816257175e-003	6.916852e-002
4.998053448771524e-003	6.918532e-002
4.998124713800221e-003	6.925467e-002
4.998200478846128e-003	6.939965e-002
4.998335833343327e-003	6.982476e-002
4.998429818745600e-003	7.025906e-002
4.998538506190677e-003	7.094512e-002
4.998654916401100e-003	7.191929e-002
4.998880654379903e-003	7.448693e-002
4.999235045293029e-003	8.032961e-002
4.999943827119282e-003	9.778821e-002
5.000975344373691e-003	1.350147e-001
5.002316635332341e-003	2.029091e-001
5.003884457162659e-003	3.026845e-001
5.004342485109967e-003	3.363919e-001
5.004550464494141e-003	3.529619e-001
5.004751074949961e-003	3.692706e-001
5.004841144831401e-003	3.766562e-001
5.004952251249060e-003	3.858597e-001
5.005111393686134e-003	3.992094e-001
5.005287310973793e-003	4.142584e-001
5.005622812299897e-003	4.437022e-001
5.005960358612793e-003	4.744498e-001
5.006607242636976e-003	5.362070e-001
5.007264787198862e-003	6.023709e-001
5.007999999999999e-003	6.795518e-001
5.008073521280113e-003	6.875453e-001
5.008220563840341e-003	7.034178e-001
5.009102819201706e-003	7.948235e-001
5.010279159683526e-003	9.071259e-001
5.012631840647167e-003	1.103332e+000
5.017337202574450e-003	1.412701e+000
5.025145282069969e-003	1.776122e+000
5.033077027986561e-003	2.007016e+000
5.043317718103295e-003	2.171574e+000
5.054407604344256e-003	2.262091e+000
5.069601841445119e-003	2.315472e+000
5.087635109837943e-003	2.338489e+000
5.114108927830233e-003	2.347066e+000
5.150473596952300e-003	2.349126e+000
5.216528060379153e-003	2.349540e+000
5.415980586949987e-003	2.350383e+000
5.424000000000000e-003	2.350417e+000
5.424374757621525e-003	2.347653e+000
5.425124272864574e-003	2.338341e+000
5.425789288798030e-003	2.325265e+000
